datetime,latitude,longitude,depth,latitude_err,longitude_err,depth_err,type,deep_nest,comments,day,month
1970-04-06 11:10:00.000,,,,,,,,,,1970-04-06,1970-04
1970-04-08 00:22:00.000,,,,,,,Meteoroid Impact,,,1970-04-08,1970-04
1970-04-08 08:09:00.000,,,,,,,Meteoroid Impact,,,1970-04-08,1970-04
1970-04-10 11:05:00.000,,,,,,,,,,1970-04-10,1970-04
1970-04-11 23:58:00.000,-2.0,32.2,920.0,4.2,17.1,184.0,Deep Moonquake,100,,1970-04-11,1970-04
1970-04-12 02:40:00.000,,,,,,,,,,1970-04-12,1970-04
1970-04-12 06:35:00.000,,,,,,,Deep Moonquake,205,,1970-04-12,1970-04
1970-04-12 07:20:00.000,,,,,,,Deep Moonquake,23,,1970-04-12,1970-04
1970-04-13 14:42:00.000,,,,,,,,,,1970-04-13,1970-04
1970-04-13 16:05:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-04-13,1970-04
1970-04-13 21:10:00.000,,,,,,,Deep Moonquake,301,,1970-04-13,1970-04
1970-04-14 01:35:00.000,-35.7,-40.3,988.0,4.9,6.7,21.0,Deep Moonquake,10,,1970-04-14,1970-04
1970-04-14 10:42:00.000,,,,,,,,,,1970-04-14,1970-04
1970-04-15 01:09:00.000,-2.75,-27.86,0.0,,,,S-IVB Impact,,13 S4B IMP,1970-04-15,1970-04
1970-04-15 12:15:00.000,,,,,,,,,,1970-04-15,1970-04
